date,approving
2015-03-19,45
2015-03-18,45
2015-03-17,45
2015-03-16,45
2015-03-15,47
2015-03-14,47
2015-03-13,47
2015-03-12,47
2015-03-11,47
2015-03-10,47
2015-03-09,47
2015-03-08,46
2015-03-07,46
2015-03-06,46
2015-03-05,46
2015-03-04,46
2015-03-03,46
2015-03-02,46
2015-03-01,45
2015-02-28,45
2015-02-27,45
2015-02-26,45
2015-02-25,45
2015-02-24,45
2015-02-23,45
2015-02-22,46
2015-02-21,46
2015-02-20,46
2015-02-19,46
2015-02-18,46
2015-02-17,46
2015-02-16,46
2015-02-15,47
2015-02-14,47
2015-02-13,47
2015-02-12,47
2015-02-11,47
2015-02-10,47
2015-02-09,47
2015-02-08,46
2015-02-07,46
2015-02-06,46
2015-02-05,46
2015-02-04,46
2015-02-03,46
2015-02-02,46
2015-02-01,47
2015-01-31,47
2015-01-30,47
2015-01-29,47
2015-01-28,47
2015-01-27,47
2015-01-26,47
2015-01-25,49
2015-01-24,49
2015-01-23,49
2015-01-22,49
2015-01-21,49
2015-01-20,49
2015-01-19,49
2015-01-18,46
2015-01-17,46
2015-01-16,46
2015-01-15,46
2015-01-14,46
2015-01-13,46
2015-01-12,46
2015-01-11,46
2015-01-10,46
2015-01-09,46
2015-01-08,46
2015-01-07,46
2015-01-06,46
2015-01-05,46
2015-01-04,46
2015-01-03,46
2015-01-02,46
2015-01-01,46
2014-12-31,46
2014-12-30,46
2014-12-29,46
2014-12-28,44
2014-12-27,44
2014-12-26,44
2014-12-25,44
2014-12-24,44
2014-12-23,44
2014-12-22,44
2014-12-21,45
2014-12-20,45
2014-12-19,45
2014-12-18,45
2014-12-17,45
2014-12-16,45
2014-12-15,45
2014-12-14,43
2014-12-13,43
2014-12-12,43
2014-12-11,43
2014-12-10,43
2014-12-09,43
2014-12-08,43
2014-12-07,43
2014-12-06,43
2014-12-05,43
2014-12-04,43
2014-12-03,43
2014-12-02,43
2014-12-01,43
2014-11-30,43
2014-11-29,43
2014-11-28,43
2014-11-27,43
2014-11-26,43
2014-11-25,43
2014-11-24,43
2014-11-23,42
2014-11-22,42
2014-11-21,42
2014-11-20,42
2014-11-19,42
2014-11-18,42
2014-11-17,42
2014-11-16,42
2014-11-15,42
2014-11-14,42
2014-11-13,42
2014-11-12,42
2014-11-11,42
2014-11-10,42
2014-11-09,40
2014-11-08,40
