,modeldate,text,retweet_count,favorite_count
84,2021-03-02 21:46:55,"RT @POTUS: Today, I am directing every state to prioritize educators for vaccination. We want every educator, school staff member, and chil…",16670,0
85,2021-03-02 18:36:24,"RT @POTUS: The fact is that $600 is not enough. The Senate needs to pass the American Rescue Plan and finish the job of delivering $2,000 i…",10532,0
86,2021-03-02 03:09:06,"RT @POTUS: Wash your hands.
Stay socially distanced.
Wear a mask.
Get vaccinated when it’s your turn.

Despite our progress, we can’t let o…",14986,0
87,2021-03-01 20:00:57,RT @POTUS: No child in America should go hungry. The American Rescue Plan will extend and invest in critical food programs to help ensure e…,3833,0
88,2021-03-01 16:00:09,"A campaign for everyone who’s been knocked down or counted out.

A campaign that brought Americans together of every race, ethnicity, gender, economic station, and party.

A year ago, the people of South Carolina lifted that campaign on their shoulders.
https://t.co/YN5LeBMLMe",3543,36327
89,2021-02-28 18:40:24,"RT @POTUS: The more people that get vaccinated, the faster we will beat this pandemic. That’s why one of my first goals is to administer 10…",13163,0
90,2021-02-28 01:41:28,"RT @POTUS: Yesterday I traveled to Texas to visit an emergency operations center, food bank, and vaccination site. Each stop represented ou…",7747,0
91,2021-02-27 15:31:46,RT @WhiteHouse: Erica is a nurse in New York City and runs COVID-19 testing at one of the hardest-hit hospitals in the country. President B…,2128,0
92,2021-02-26 21:47:10,"RT @POTUS: The week before I took office, 6 million COVID-19 vaccine shots were administered.

This coming week, our Administration will li…",8931,0
93,2021-02-26 15:21:15,"RT @POTUS: COVID-19 vaccinations are up and cases and hospitalizations are down, but let me be clear: now is not the time to relax. https:/…",4983,0
94,2021-02-26 01:51:06,"RT @POTUS: Transgender rights are human rights — and the House made that clear today by passing the Equality Act. 

Now it's time for the S…",22133,0
95,2021-02-25 21:36:25,RT @POTUS: I am pleased that the House will vote next week on the George Floyd Justice in Policing Act. I encourage the House to pass it. F…,11124,0
96,2021-02-25 00:06:45,"RT @WhiteHouse: On Friday, President Biden toured a Pfizer manufacturing plant in Michigan to see the vaccine production process firsthand…",1657,0
97,2021-02-24 22:02:29,"RT @POTUS: When I met with Prime Minister @JustinTrudeau in 2016, I said the world needed more leaders like him. A lot has changed since th…",6274,0
98,2021-02-24 16:05:58,"RT @POTUS: Small businesses need relief, but many were muscled out of the way by big companies last year. That’s why starting today, we’re…",4493,0
99,2021-02-23 16:57:17,RT @JoeBiden: We need a president who is respected on the world stage. https://t.co/Hqv6T06Mtv,4036,0
100,2021-02-23 15:09:05,"RT @POTUS: We will get through this, I promise you. https://t.co/dtmi4C9WsM",6801,0
101,2021-02-23 00:53:47,"RT @POTUS: 500,000 lives lost to COVID-19. It’s an unfathomable number, but each one represents a family that will never again be whole. To…",13752,0
102,2021-02-22 21:06:37,"RT @POTUS: I know folks have a lot of questions about COVID-19 mutations, our vaccination progress, and much more. @CDCDirector Dr. Walensk…",3021,0
103,2021-02-22 14:55:00,"RT @POTUS: If there’s one message I want to cut through to everyone in this country, it’s this: The vaccines are safe.

For yourself, your…",16665,0
104,2021-02-21 21:42:02,"RT @POTUS: Today would have been Congressman John Lewis’ 81st birthday. While my dear friend may no longer be with us, his life and legacy…",14595,0
105,2021-02-21 16:31:40,RT @POTUS: Overcoming the COVID-19 pandemic needs to be our top priority as a nation. I joined members of my team to talk about our plan to…,5212,0
106,2021-02-20 21:26:49,"RT @POTUS: The federal government has sent generators, blankets, water, and other critical supplies to Texas, but local organizations on th…",8586,0
107,2021-02-20 15:28:00,"RT @POTUS: On Thursday, I joined the world and watched in awe as the Perseverance Rover touched down on the surface of Mars. It was a remar…",6896,0
108,2021-02-19 18:40:55,"RT @POTUS: Today, America is officially back in the Paris Climate Agreement. Let’s get to work.",34808,0
109,2021-02-19 16:58:56,"RT @POTUS: The Equality Act provides long overdue federal civil rights protections for LGBTQ+ Americans, preventing discrimination in our h…",9985,0
110,2021-02-18 21:22:12,"RT @WhiteHouse: Texas — If you’re without heat, head to https://t.co/5WhFEK6B8u to find a warming shelter near you or call 211 for addition…",11095,0
111,2021-02-18 17:46:23,"RT @POTUS: Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I’ve declared states of emergency, authorized…",21709,0
112,2021-02-18 15:48:50,"RT @POTUS: Today I announced our Administration will:

- Expand COVID-19 testing for schools and underserved communities
- Increase manufac…",5870,0
113,2021-02-17 22:11:54,RT @WhiteHouse: The Biden-Harris Administration opened a special enrollment period to ensure every American has the opportunity to sign up…,2094,0
114,2021-02-17 14:17:10,"RT @POTUS: I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa",5806,0
115,2021-02-17 01:04:54,"RT @POTUS: Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT…",4211,0
116,2021-02-16 22:45:35,"RT @POTUS: Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increa…",10898,0
117,2021-02-16 14:05:20,"RT @POTUS: Before I took office, I set a big goal of administering 100 million shots in the first 100 days. With the progress we’re making…",21495,0
118,2021-02-14 23:06:48,"RT @POTUS: The love of my life and the life of my love. Happy Valentine’s Day, Jilly. https://t.co/LjLLIjvP1C",22193,0
119,2021-02-14 22:43:47,"RT @POTUS: Three years ago today, a lone gunman took the lives of 14 students and three educators in Parkland, Florida. In seconds, the liv…",11598,0
120,2021-02-13 15:06:30,"RT @POTUS: Samir and Neal own NaanStop in Atlanta, Georgia — and like many small businesses around the country, they’ve been hit hard by th…",5473,0
121,2021-02-13 00:32:08,RT @POTUS: I know the last year has been difficult and painful for all of us. I hope Jill’s Valentine’s Day message helped brighten your da…,17207,0
122,2021-02-12 17:03:42,"RT @POTUS: From the Biden family to yours, happy #LunarNewYear. We wish you happiness, health, and prosperity in the Year of the Ox. https:…",12552,0
123,2021-02-12 15:19:37,"RT @POTUS: I see enormous pain in this country. A lot of folks are out of work. A lot of folks are going hungry, staring at the ceiling at…",5543,0
