president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joseph R. Biden Jr.,Voters,3/15/2021,52.110086,57.228639,46.991532,41.243345,46.488562,35.998127,10:35:07 15 Mar 2021
Joseph R. Biden Jr.,Adults,3/15/2021,54.237159,59.538213,48.936106,39.648534,44.465285,34.831783,10:35:07 15 Mar 2021
Joseph R. Biden Jr.,All polls,3/15/2021,53.846774,58.977977,48.715572,40.185976,45.145559,35.226393,10:35:06 15 Mar 2021
Joseph R. Biden Jr.,Voters,3/14/2021,52.311765,57.321887,47.301644,41.156289,46.406983,35.905594,11:57:08 14 Mar 2021
Joseph R. Biden Jr.,All polls,3/14/2021,54.065952,59.142448,48.989457,40.104361,45.077952,35.13077,11:57:07 14 Mar 2021
Joseph R. Biden Jr.,Adults,3/14/2021,54.237159,59.538213,48.936106,39.648534,44.465285,34.831783,11:57:08 14 Mar 2021
Joseph R. Biden Jr.,Adults,3/13/2021,52.991846,57.935892,48.0478,39.912734,44.772348,35.05312,11:57:08 14 Mar 2021
Joseph R. Biden Jr.,All polls,3/13/2021,53.154843,57.950433,48.359253,40.274014,45.266626,35.281402,11:57:07 14 Mar 2021
Joseph R. Biden Jr.,Voters,3/13/2021,52.311765,57.321887,47.301644,41.156289,46.406983,35.905594,11:57:09 14 Mar 2021
Joseph R. Biden Jr.,Voters,3/12/2021,52.311765,57.321887,47.301644,41.156289,46.406983,35.905594,22:00:08 12 Mar 2021
Joseph R. Biden Jr.,Adults,3/12/2021,52.991846,57.935892,48.0478,39.912734,44.772348,35.05312,22:00:08 12 Mar 2021
Joseph R. Biden Jr.,All polls,3/12/2021,53.154843,57.950433,48.359253,40.274014,45.266626,35.281402,22:00:07 12 Mar 2021
Joseph R. Biden Jr.,Adults,3/11/2021,52.981262,57.974086,47.988438,40.011153,44.935533,35.086773,21:52:04 11 Mar 2021
Joseph R. Biden Jr.,Voters,3/11/2021,52.101676,57.058787,47.144564,41.070142,46.35449,35.785795,21:52:05 11 Mar 2021
Joseph R. Biden Jr.,All polls,3/11/2021,53.043988,57.871499,48.216476,40.254456,45.305819,35.203093,21:52:04 11 Mar 2021
Joseph R. Biden Jr.,Voters,3/10/2021,53.095625,57.936328,48.254922,40.427495,45.870305,34.984686,13:46:05 10 Mar 2021
Joseph R. Biden Jr.,Adults,3/10/2021,52.840325,57.899749,47.780901,38.24952,43.351793,33.147248,13:46:05 10 Mar 2021
Joseph R. Biden Jr.,All polls,3/10/2021,52.958772,57.780621,48.136924,39.278536,44.594931,33.962142,13:46:04 10 Mar 2021
Joseph R. Biden Jr.,Adults,3/9/2021,53.526507,58.648894,48.404119,37.27473,42.435059,32.1144,21:39:04  9 Mar 2021
Joseph R. Biden Jr.,All polls,3/9/2021,53.447902,58.325039,48.570766,38.782093,44.219034,33.345153,21:39:04  9 Mar 2021
Joseph R. Biden Jr.,Voters,3/9/2021,53.408873,58.303004,48.514743,39.967565,45.618367,34.316763,21:39:05  9 Mar 2021
Joseph R. Biden Jr.,Voters,3/8/2021,53.357785,58.237382,48.478189,39.982715,45.594941,34.370489,09:39:05  8 Mar 2021
